id,closed,accountNumber,pin,balance
0,false,0000,0000,6825.00
1,false,0001,0001,8065.26
2,false,0002,0002,3935.00
3,false,0003,0003,4303.00
4,false,0004,0004,3108.11
5,false,0005,0005,3120.80
6,false,0006,0006,294.58
7,false,0007,0007,4184.40
8,false,0008,0008,2675.80
9,false,0009,0009,3093.97
10,false,0010,0010,9246.41
11,false,0011,0011,8774.00
12,false,0012,0012,7982.00
13,false,0013,0013,8953.26
14,false,0014,0014,4379.78
15,false,0015,0015,3036.00
16,false,0016,0016,4571.00
17,false,0017,0017,6336.00
18,false,0018,0018,5132.00
19,false,0019,0019,1046.22
20,false,0020,0020,7743.00
21,false,0021,0021,3566.00
22,false,0022,0022,8381.01
23,false,0023,0023,3766.00
24,false,0024,0024,4784.00
25,false,0025,0025,5707.00
26,false,0026,0026,2616.97
27,false,0027,0027,548.00
28,false,0028,0028,2150.68
29,false,0029,0029,7917.07
30,false,0030,0030,805.00
31,false,0031,0031,1443.07
32,false,0032,0032,2039.00
33,false,0033,0033,4425.85
34,false,0034,0034,5321.00
35,false,0035,0035,422.00
36,false,0036,0036,3071.01
37,false,0037,0037,8301.64
38,false,0038,0038,1201.84
39,false,0039,0039,3395.55
40,false,0040,0040,9706.08
41,false,0041,0041,8240.00
42,false,0042,0042,4427.00
43,false,0043,0043,2581.00
44,false,0044,0044,9254.00
45,false,0045,0045,9774.00
46,false,0046,0046,5355.00
47,false,0047,0047,8615.96
48,false,0048,0048,5380.00
49,false,0049,0049,2197.38
50,false,0050,0050,6553.00
51,false,0051,0051,5578.00
52,false,0052,0052,4781.87
53,false,0053,0053,5872.00
54,false,0054,0054,9162.00
55,false,0055,0055,1560.00
56,false,0056,0056,4906.00
57,false,0057,0057,7761.00
58,false,0058,0058,9381.00
59,false,0059,0059,8825.86
60,false,0060,0060,9483.00
61,false,0061,0061,6302.00
62,false,0062,0062,8529.00
63,false,0063,0063,1126.61
64,false,0064,0064,6173.07
65,false,0065,0065,3459.00
66,false,0066,0066,8689.76
67,false,0067,0067,8778.00
68,false,0068,0068,7556.78
69,false,0069,0069,3304.00
70,false,0070,0070,829.70
71,false,0071,0071,5416.00
72,false,0072,0072,5907.85
73,false,0073,0073,7915.23
74,false,0074,0074,9674.18
75,false,0075,0075,9573.00
76,false,0076,0076,6937.67
77,false,0077,0077,6553.49
78,false,0078,0078,5321.00
79,false,0079,0079,5967.00
80,false,0080,0080,3848.00
81,false,0081,0081,515.00
82,false,0082,0082,3730.00
83,false,0083,0083,4366.00
84,false,0084,0084,303.88
85,false,0085,0085,9420.00
86,false,0086,0086,3474.13
87,false,0087,0087,628.00
88,false,0088,0088,4053.62
89,false,0089,0089,4169.81
90,false,0090,0090,9581.00
91,false,0091,0091,4095.30
92,false,0092,0092,1399.18
93,false,0093,0093,4459.00
94,false,0094,0094,5991.00
95,false,0095,0095,1295.31
96,false,0096,0096,5453.40
97,false,0097,0097,138.00
98,false,0098,0098,5611.00
99,false,0099,0099,9588.63
100,false,0100,0100,5124.39
101,false,0101,0101,4662.00
102,false,0102,0102,3846.47
103,false,0103,0103,1708.18
104,false,0104,0104,2013.60
105,false,0105,0105,9747.43
106,false,0106,0106,2012.00
107,false,0107,0107,7975.00
108,false,0108,0108,3847.19
109,false,0109,0109,6745.00
110,false,0110,0110,223.00
111,false,0111,0111,2369.00
112,false,0112,0112,9539.00
113,false,0113,0113,5933.31
114,false,0114,0114,161.52
115,false,0115,0115,2952.00
116,false,0116,0116,6744.00
117,false,0117,0117,1201.00
118,false,0118,0118,3079.00
119,false,0119,0119,338.20
120,false,0120,0120,921.00
121,false,0121,0121,8854.00
122,false,0122,0122,7112.00
123,false,0123,0123,2304.78
124,false,0124,0124,5078.00
125,false,0125,0125,8821.17
126,false,0126,0126,1386.70
127,false,0127,0127,4782.00
128,false,0128,0128,305.90
129,false,0129,0129,303.60
130,false,0130,0130,3416.00
131,false,0131,0131,2628.56
132,false,0132,0132,9050.00
133,false,0133,0133,1133.00
134,false,0134,0134,8382.00
135,false,0135,0135,1322.87
136,false,0136,0136,2753.00
137,false,0137,0137,5147.00
138,false,0138,0138,6611.00
139,false,0139,0139,1211.00
140,false,0140,0140,2139.00
141,false,0141,0141,5075.08
142,false,0142,0142,1144.00
143,false,0143,0143,3516.34
144,false,0144,0144,7287.60
145,false,0145,0145,1612.95
146,false,0146,0146,2627.00
147,false,0147,0147,2943.35
148,false,0148,0148,9284.00
149,false,0149,0149,5337.00
150,false,0150,0150,6548.35
151,false,0151,0151,6809.63
152,false,0152,0152,1892.00
153,false,0153,0153,4204.56
154,false,0154,0154,1988.00
155,false,0155,0155,9019.59
156,false,0156,0156,1493.00
157,false,0157,0157,6829.00
158,false,0158,0158,9120.00
159,false,0159,0159,2356.00
160,false,0160,0160,971.00
161,false,0161,0161,4377.09
162,false,0162,0162,2887.93
163,false,0163,0163,9688.00
164,false,0164,0164,6829.81
165,false,0165,0165,6312.39
166,false,0166,0166,8836.70
167,false,0167,0167,233.00
168,false,0168,0168,5282.96
169,false,0169,0169,7235.42
170,false,0170,0170,1950.00
171,false,0171,0171,2835.84
172,false,0172,0172,4072.00
173,false,0173,0173,3066.00
174,false,0174,0174,6615.00
175,false,0175,0175,344.00
176,false,0176,0176,580.00
177,false,0177,0177,3723.57
178,false,0178,0178,1509.67
179,false,0179,0179,9337.00
180,false,0180,0180,431.08
181,false,0181,0181,9727.00
182,false,0182,0182,9481.00
183,false,0183,0183,9677.00
184,false,0184,0184,9490.01
185,false,0185,0185,7925.83
186,false,0186,0186,5076.99
187,false,0187,0187,2989.18
188,false,0188,0188,8054.01
189,false,0189,0189,1025.77
190,false,0190,0190,7230.44
191,false,0191,0191,5985.00
192,false,0192,0192,5552.58
193,false,0193,0193,2112.00
194,false,0194,0194,6882.65
195,false,0195,0195,146.00
196,false,0196,0196,8655.00
197,false,0197,0197,4259.86
198,false,0198,0198,1418.28
199,false,0199,0199,9180.00
200,false,0200,0200,8720.97
201,false,0201,0201,5736.51
202,false,0202,0202,8909.00
203,false,0203,0203,7401.00
204,false,0204,0204,2265.44
205,false,0205,0205,1530.00
206,false,0206,0206,4296.00
207,false,0207,0207,4602.00
208,false,0208,0208,8821.00
209,false,0209,0209,5602.00
210,false,0210,0210,4587.04
211,false,0211,0211,4812.00
212,false,0212,0212,1401.26
213,false,0213,0213,9046.00
214,false,0214,0214,7669.04
215,false,0215,0215,6706.00
216,false,0216,0216,4582.00
217,false,0217,0217,9706.00
218,false,0218,0218,4344.21
219,false,0219,0219,5868.19
220,false,0220,0220,7658.40
221,false,0221,0221,1663.66
222,false,0222,0222,2208.00
223,false,0223,0223,3105.04
224,false,0224,0224,5076.56
225,false,0225,0225,5329.09
226,false,0226,0226,4668.29
227,false,0227,0227,321.82
228,false,0228,0228,1323.00
229,false,0229,0229,898.00
230,false,0230,0230,4563.50
231,false,0231,0231,899.00
232,false,0232,0232,2707.08
233,false,0233,0233,2015.00
234,false,0234,0234,5626.58
235,false,0235,0235,4357.00
236,false,0236,0236,7478.00
237,false,0237,0237,897.00
238,false,0238,0238,8832.00
239,false,0239,0239,8078.00
240,false,0240,0240,677.00
241,false,0241,0241,2557.92
242,false,0242,0242,9330.00
243,false,0243,0243,7842.00
244,false,0244,0244,2437.00
245,false,0245,0245,4889.38
246,false,0246,0246,174.07
247,false,0247,0247,6029.00
248,false,0248,0248,3850.29
249,false,0249,0249,6564.41
250,false,0250,0250,1889.59
251,false,0251,0251,5679.45
252,false,0252,0252,5468.91
253,false,0253,0253,7693.00
254,false,0254,0254,3115.00
255,false,0255,0255,5852.00
256,false,0256,0256,6976.22
257,false,0257,0257,5182.00
258,false,0258,0258,2547.00
259,false,0259,0259,2637.95
260,false,0260,0260,5031.76
261,false,0261,0261,130.00
262,false,0262,0262,9347.81
263,false,0263,0263,6480.00
264,false,0264,0264,1769.71
265,false,0265,0265,6424.00
266,false,0266,0266,9978.86
267,false,0267,0267,661.90
268,false,0268,0268,3577.91
269,false,0269,0269,6372.00
270,false,0270,0270,6883.44
271,false,0271,0271,1570.79
272,false,0272,0272,3062.95
273,false,0273,0273,6958.67
274,false,0274,0274,2676.00
275,false,0275,0275,506.70
276,false,0276,0276,7530.71
277,false,0277,0277,6688.90
278,false,0278,0278,4725.18
279,false,0279,0279,2760.02
280,false,0280,0280,3137.01
281,false,0281,0281,8979.00
282,false,0282,0282,7434.00
283,false,0283,0283,5434.68
284,false,0284,0284,9820.00
285,false,0285,0285,8358.00
286,false,0286,0286,3981.00
287,false,0287,0287,3465.00
288,false,0288,0288,8414.23
289,false,0289,0289,5003.00
290,false,0290,0290,2401.50
291,false,0291,0291,5758.39
292,false,0292,0292,4319.98
293,false,0293,0293,588.00
294,false,0294,0294,7467.00
295,false,0295,0295,1936.59
296,false,0296,0296,934.32
297,false,0297,0297,6403.28
298,false,0298,0298,3234.67
299,false,0299,0299,2356.20
300,false,0300,0300,7422.39
301,false,0301,0301,1650.61
302,false,0302,0302,1512.00
303,false,0303,0303,2411.01
304,false,0304,0304,8376.25
305,false,0305,0305,1242.76
306,false,0306,0306,793.00
307,false,0307,0307,3951.04
308,false,0308,0308,7709.80
309,false,0309,0309,7151.00
310,false,0310,0310,7821.00
311,false,0311,0311,1948.63
312,false,0312,0312,7411.33
313,false,0313,0313,4666.14
314,false,0314,0314,5124.42
315,false,0315,0315,1901.00
316,false,0316,0316,795.00
317,false,0317,0317,220.00
318,false,0318,0318,3333.00
319,false,0319,0319,3398.23
320,false,0320,0320,9222.63
321,false,0321,0321,3045.46
322,false,0322,0322,1991.64
323,false,0323,0323,8783.00
324,false,0324,0324,3109.07
325,false,0325,0325,3444.42
326,false,0326,0326,7353.00
327,false,0327,0327,5188.00
328,false,0328,0328,682.80
329,false,0329,0329,325.00
330,false,0330,0330,4491.00
331,false,0331,0331,4437.00
332,false,0332,0332,6330.00
333,false,0333,0333,9209.73
334,false,0334,0334,3536.00
335,false,0335,0335,6168.00
336,false,0336,0336,4253.00
337,false,0337,0337,5395.00
338,false,0338,0338,288.26
339,false,0339,0339,5082.00
340,false,0340,0340,3747.57
341,false,0341,0341,2262.00
342,false,0342,0342,972.00
343,false,0343,0343,8580.00
344,false,0344,0344,9464.00
345,false,0345,0345,1486.60
346,false,0346,0346,8757.44
347,false,0347,0347,5447.00
348,false,0348,0348,2141.00
349,false,0349,0349,2281.39
350,false,0350,0350,6390.65
351,false,0351,0351,1125.00
352,false,0352,0352,5133.00
353,false,0353,0353,209.00
354,false,0354,0354,6449.00
355,false,0355,0355,7067.69
356,false,0356,0356,7284.34
357,false,0357,0357,9867.00
358,false,0358,0358,5309.00
359,false,0359,0359,4036.14
360,false,0360,0360,8626.00
361,false,0361,0361,3247.00
362,false,0362,0362,9222.00
363,false,0363,0363,222.00
364,false,0364,0364,7131.00
365,false,0365,0365,5744.00
366,false,0366,0366,9950.61
367,false,0367,0367,1305.00
368,false,0368,0368,2774.00
369,false,0369,0369,7403.99
370,false,0370,0370,5323.00
371,false,0371,0371,1759.31
372,false,0372,0372,2428.63
373,false,0373,0373,9836.00
374,false,0374,0374,1580.62
375,false,0375,0375,3754.44
376,false,0376,0376,1198.00
377,false,0377,0377,9873.51
378,false,0378,0378,806.51
379,false,0379,0379,7295.00
380,false,0380,0380,5901.14
381,false,0381,0381,9150.03
382,false,0382,0382,7625.00
383,false,0383,0383,5687.00
384,false,0384,0384,2174.00
385,false,0385,0385,990.00
386,false,0386,0386,4073.44
387,false,0387,0387,2907.00
388,false,0388,0388,867.00
389,false,0389,0389,7215.35
390,false,0390,0390,6056.84
391,false,0391,0391,3250.00
392,false,0392,0392,2472.00
393,false,0393,0393,5037.74
394,false,0394,0394,3357.00
395,false,0395,0395,803.16
396,false,0396,0396,4429.00
397,false,0397,0397,9338.00
398,false,0398,0398,7471.77
399,false,0399,0399,3915.62
400,false,0400,0400,9367.00
401,false,0401,0401,2832.00
402,false,0402,0402,3763.00
403,false,0403,0403,5077.00
404,false,0404,0404,228.00
405,false,0405,0405,101.00
406,false,0406,0406,1277.00
407,false,0407,0407,243.00
408,false,0408,0408,8421.00
409,false,0409,0409,4117.00
410,false,0410,0410,3544.00
411,false,0411,0411,1691.00
412,false,0412,0412,3069.00
413,false,0413,0413,477.00
414,false,0414,0414,2019.54
415,false,0415,0415,5562.00
416,false,0416,0416,2408.29
417,false,0417,0417,9888.00
418,false,0418,0418,1285.73
419,false,0419,0419,607.00
420,false,0420,0420,8694.82
421,false,0421,0421,8911.00
422,false,0422,0422,6919.07
423,false,0423,0423,5293.00
424,false,0424,0424,4723.68
425,false,0425,0425,8186.44
426,false,0426,0426,6732.00
427,false,0427,0427,8196.00
428,false,0428,0428,9525.35
429,false,0429,0429,4995.00
430,false,0430,0430,3325.99
431,false,0431,0431,7370.00
432,false,0432,0432,2161.00
433,false,0433,0433,2635.07
434,false,0434,0434,1985.31
435,false,0435,0435,9699.00
436,false,0436,0436,136.54
437,false,0437,0437,9437.26
438,false,0438,0438,7356.33
439,false,0439,0439,9828.00
440,false,0440,0440,8387.58
441,false,0441,0441,1399.66
442,false,0442,0442,9239.00
443,false,0443,0443,2904.88
444,false,0444,0444,5284.00
445,false,0445,0445,1794.00
446,false,0446,0446,5824.00
447,false,0447,0447,6279.25
448,false,0448,0448,1121.05
449,false,0449,0449,2117.00
450,false,0450,0450,2247.00
451,false,0451,0451,5226.00
452,false,0452,0452,9628.00
453,false,0453,0453,8488.00
454,false,0454,0454,2292.19
455,false,0455,0455,6054.00
456,false,0456,0456,5172.00
457,false,0457,0457,2920.65
458,false,0458,0458,2381.00
459,false,0459,0459,7409.00
460,false,0460,0460,9695.61
461,false,0461,0461,2420.00
462,false,0462,0462,1535.00
463,false,0463,0463,5276.00
464,false,0464,0464,9171.00
465,false,0465,0465,4130.17
466,false,0466,0466,501.04
467,false,0467,0467,522.13
468,false,0468,0468,6559.21
469,false,0469,0469,1513.00
470,false,0470,0470,8564.74
471,false,0471,0471,6350.00
472,false,0472,0472,6035.64
473,false,0473,0473,4371.90
474,false,0474,0474,6168.00
475,false,0475,0475,9560.00
476,false,0476,0476,9231.00
477,false,0477,0477,4757.00
478,false,0478,0478,2160.00
479,false,0479,0479,9150.00
480,false,0480,0480,9181.34
481,false,0481,0481,2919.07
482,false,0482,0482,8349.00
483,false,0483,0483,6342.74
484,false,0484,0484,2382.17
485,false,0485,0485,1465.00
486,false,0486,0486,1392.07
487,false,0487,0487,1485.48
488,false,0488,0488,8237.11
489,false,0489,0489,175.00
490,false,0490,0490,3545.00
491,false,0491,0491,9347.03
492,false,0492,0492,9898.39
493,false,0493,0493,879.00
494,false,0494,0494,9558.17
495,false,0495,0495,5977.20
496,false,0496,0496,7821.18
497,false,0497,0497,9414.23
498,false,0498,0498,7650.71
499,false,0499,0499,6841.00
500,false,0500,0500,6078.00
501,false,0501,0501,6077.37
502,false,0502,0502,8638.75
503,false,0503,0503,3744.91
504,false,0504,0504,6246.58
505,false,0505,0505,2904.00
506,false,0506,0506,3852.00
507,false,0507,0507,3324.00
508,false,0508,0508,4737.68
509,false,0509,0509,4705.00
510,false,0510,0510,8114.84
511,false,0511,0511,7606.14
512,false,0512,0512,9300.61
513,false,0513,0513,8865.00
514,false,0514,0514,6964.00
515,false,0515,0515,1761.00
516,false,0516,0516,5485.33
517,false,0517,0517,4900.00
518,false,0518,0518,9388.71
519,false,0519,0519,1707.00
520,false,0520,0520,4865.00
521,false,0521,0521,6680.00
522,false,0522,0522,9573.00
523,false,0523,0523,158.82
524,false,0524,0524,2141.00
525,false,0525,0525,5841.00
526,false,0526,0526,216.69
527,false,0527,0527,5039.00
528,false,0528,0528,9829.12
529,false,0529,0529,2293.00
530,false,0530,0530,5295.52
531,false,0531,0531,1367.00
532,false,0532,0532,3894.00
533,false,0533,0533,8884.00
534,false,0534,0534,4535.00
535,false,0535,0535,8060.36
536,false,0536,0536,4275.79
537,false,0537,0537,5421.00
538,false,0538,0538,5204.33
539,false,0539,0539,1167.00
540,false,0540,0540,6883.00
541,false,0541,0541,5333.99
542,false,0542,0542,7448.00
543,false,0543,0543,808.00
544,false,0544,0544,5840.48
545,false,0545,0545,7701.00
546,false,0546,0546,5641.00
547,false,0547,0547,957.43
548,false,0548,0548,1920.00
549,false,0549,0549,5757.14
550,false,0550,0550,9488.00
551,false,0551,0551,5907.00
552,false,0552,0552,6640.32
553,false,0553,0553,7222.82
554,false,0554,0554,9232.00
555,false,0555,0555,4556.00
556,false,0556,0556,4246.00
557,false,0557,0557,4997.00
558,false,0558,0558,2523.80
559,false,0559,0559,8800.83
560,false,0560,0560,8514.57
561,false,0561,0561,7198.69
562,false,0562,0562,843.46
563,false,0563,0563,9436.30
564,false,0564,0564,3331.56
565,false,0565,0565,7399.00
566,false,0566,0566,5312.76
567,false,0567,0567,2399.57
568,false,0568,0568,6459.00
569,false,0569,0569,2805.66
570,false,0570,0570,6718.00
571,false,0571,0571,6660.00
572,false,0572,0572,3723.79
573,false,0573,0573,7435.51
