id,closed,accountNumber,pin,balance
1,false,0001,0001,1396.00
2,false,0002,0002,9721.00
3,false,0003,0003,9022.42
4,false,0004,0004,9663.00
5,false,0005,0005,4523.00
6,false,0006,0006,518.09
7,false,0007,0007,4400.77
8,false,0008,0008,9242.00
9,false,0009,0009,1878.00
10,false,0010,0010,5592.83
11,false,0011,0011,3102.00
12,false,0012,0012,628.86
13,false,0013,0013,6321.30
14,false,0014,0014,7516.85
15,false,0015,0015,6722.00
16,false,0016,0016,4766.04
17,false,0017,0017,2211.07
18,false,0018,0018,2445.00
19,false,0019,0019,1573.00
20,false,0020,0020,8336.99
21,false,0021,0021,1544.00
22,false,0022,0022,4481.49
23,false,0023,0023,1558.08
24,false,0024,0024,6116.05
25,false,0025,0025,2207.89
26,false,0026,0026,7954.55
27,false,0027,0027,6459.76
28,false,0028,0028,7144.44
29,false,0029,0029,9502.14
30,false,0030,0030,2848.00
31,false,0031,0031,3396.81
32,false,0032,0032,2732.37
33,false,0033,0033,893.56
34,false,0034,0034,1144.37
35,false,0035,0035,7268.98
36,false,0036,0036,1787.00
37,false,0037,0037,9554.00
38,false,0038,0038,5248.00
39,false,0039,0039,6662.62
40,false,0040,0040,773.00
41,false,0041,0041,3783.73
42,false,0042,0042,1493.37
43,false,0043,0043,1904.00
44,false,0044,0044,4132.00
45,false,0045,0045,6203.13
46,false,0046,0046,228.53
47,false,0047,0047,548.00
48,false,0048,0048,5641.00
49,false,0049,0049,7155.44
50,false,0050,0050,631.00
51,false,0051,0051,948.44
52,false,0052,0052,7814.00
53,false,0053,0053,3115.00
54,false,0054,0054,6513.00
55,false,0055,0055,3249.00
56,false,0056,0056,779.00
57,false,0057,0057,8587.00
58,false,0058,0058,2371.97
59,false,0059,0059,7670.14
60,false,0060,0060,6695.80
61,false,0061,0061,9798.79
62,false,0062,0062,322.00
63,false,0063,0063,1825.47
64,false,0064,0064,3798.00
65,false,0065,0065,1798.00
66,false,0066,0066,1255.75
67,false,0067,0067,350.00
68,false,0068,0068,8933.00
69,false,0069,0069,823.77
70,false,0070,0070,7582.74
71,false,0071,0071,6231.59
72,false,0072,0072,7260.11
73,false,0073,0073,6054.43
74,false,0074,0074,7921.59
75,false,0075,0075,9794.00
76,false,0076,0076,2149.12
77,false,0077,0077,8005.61
78,false,0078,0078,5424.00
79,false,0079,0079,5969.64
80,false,0080,0080,982.44
81,false,0081,0081,4427.00
82,false,0082,0082,8154.00
83,false,0083,0083,7933.00
84,false,0084,0084,4416.56
85,false,0085,0085,7949.86
86,false,0086,0086,4639.26
87,false,0087,0087,2749.00
88,false,0088,0088,6849.00
89,false,0089,0089,9195.68
90,false,0090,0090,1863.03
91,false,0091,0091,508.00
92,false,0092,0092,5509.00
93,false,0093,0093,8065.00
94,false,0094,0094,1955.00
95,false,0095,0095,434.00
96,false,0096,0096,6899.65
97,false,0097,0097,539.29
98,false,0098,0098,8947.77
99,false,0099,0099,3574.31
100,false,0100,0100,3750.42
101,false,0101,0101,7523.00
102,false,0102,0102,8157.97
103,false,0103,0103,3011.00
104,false,0104,0104,6033.00
105,false,0105,0105,1896.75
106,false,0106,0106,9030.00
107,false,0107,0107,1251.96
108,false,0108,0108,3306.00
109,false,0109,0109,1611.00
110,false,0110,0110,6603.80
111,false,0111,0111,7361.87
112,false,0112,0112,6362.98
113,false,0113,0113,5399.00
114,false,0114,0114,7583.45
115,false,0115,0115,866.00
116,false,0116,0116,8485.00
117,false,0117,0117,7078.31
118,false,0118,0118,6282.89
119,false,0119,0119,1181.13
120,false,0120,0120,8347.09
121,false,0121,0121,870.00
122,false,0122,0122,9814.32
123,false,0123,0123,5921.09
124,false,0124,0124,3560.00
125,false,0125,0125,7356.00
126,false,0126,0126,860.86
127,false,0127,0127,1868.00
128,false,0128,0128,5684.00
129,false,0129,0129,7965.80
130,false,0130,0130,5245.00
131,false,0131,0131,4341.00
132,false,0132,0132,4187.75
133,false,0133,0133,9056.86
134,false,0134,0134,9077.00
135,false,0135,0135,5450.00
136,false,0136,0136,9968.00
137,false,0137,0137,4589.00
138,false,0138,0138,415.00
139,false,0139,0139,7313.70
140,false,0140,0140,2667.66
141,false,0141,0141,8726.77
142,false,0142,0142,8870.00
143,false,0143,0143,9086.07
144,false,0144,0144,2207.76
145,false,0145,0145,8505.59
146,false,0146,0146,8384.00
147,false,0147,0147,5071.48
